"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Gary Sanchez","Yankees","123","515","465","123","22","0","31","72","90","39","115","6","3","1",".265",".328",".513",".842",".353","-3.2","-0.4","3.5","19.6","11442"
"Buster Posey","Giants","129","540","475","141","27","1","14","64","69","55","62","5","4","2",".297",".372",".449",".821",".348","7.3","-1.3","4.5","57.9","9166"
"Willson Contreras","Cubs","129","542","480","129","26","2","20","66","77","52","116","6","6","5",".268",".344",".456",".800",".342","-0.8","-2.1","3.0","51.4","11609"
"Jonathan Lucroy","Athletics","112","469","417","119","25","3","11","53","56","44","63","4","2","1",".285",".356",".438",".794",".339","-1.0","-1.5","2.9","198.6","7870"
"Chris Iannetta","Rockies","76","320","274","68","15","0","12","36","40","39","80","4","1","0",".247",".347",".438",".785",".339","-2.2","-0.9","1.0","271.0","8267"
"Yasmani Grandal","Dodgers","69","288","250","59","12","0","13","32","41","34","75","1","1","1",".235",".327",".448",".775",".332","-0.2","-1.0","1.6","224.8","11368"
"Evan Gattis","Astros","138","580","530","135","26","3","30","71","94","38","118","6","1","1",".254",".308",".482",".790",".331","-1.9","-1.5","1.6","140.9","11003"
"Alex Avila","Diamondbacks","79","331","274","62","12","1","10","35","36","53","110","1","1","1",".226",".352",".388",".741",".327","0.6","-1.3","1.2","333.8","7476"
"Russell Martin","Blue Jays","107","448","380","88","16","0","16","54","56","54","112","9","2","3",".231",".338",".405",".743",".324","3.4","-1.8","2.6","314.9","4616"
"Stephen Vogt","Brewers","53","224","204","53","11","1","8","24","30","17","40","1","0","1",".258",".316",".446",".761",".323","-2.6","-0.4","0.7","354.1","5000"
"Brian McCann","Astros","107","448","394","95","14","1","20","54","66","41","81","7","1","0",".241",".322",".430",".752",".322","-1.0","-1.4","2.3","215.9","4810"
"Robinson Chirinos","Rangers","119","501","437","100","22","2","22","61","63","45","131","11","3","1",".229",".315",".435",".749",".321","2.0","-1.0","2.4","254.7","3142"
"Austin Barnes","Dodgers","83","350","305","78","16","2","7","40","40","37","59","4","7","2",".256",".343",".394",".737",".321","-0.4","0.0","1.7","191.4","12158"
"Tyler Flowers","Braves","91","384","340","85","16","0","12","37","47","29","99","11","1","1",".251",".329",".402",".731",".318","-3.1","-1.1","1.2","298.2","9134"
"Francisco Cervelli","Pirates","91","384","332","86","15","2","5","38","36","42","78","6","2","2",".260",".351",".362",".712",".317","-2.7","-0.9","1.3","432.7","5275"
"Mike Zunino","Mariners","114","480","428","94","19","0","26","56","69","38","158","9","1","1",".221",".296",".448",".744",".316","-0.8","-0.4","2.4","157.1","13265"
"J.T. Realmuto","Marlins","122","512","472","127","26","4","13","57","55","31","91","5","8","3",".270",".319",".422",".742",".316","1.5","0.5","2.5","100.5","11739"
"Devin Mesoraco","Reds","61","256","223","50","10","1","10","27","31","25","59","5","2","1",".225",".315",".418",".733",".316","-2.9","-0.5","0.7","491.6","5666"
"Travis d'Arnaud","Mets","91","384","350","89","19","1","14","41","48","27","65","3","1","0",".255",".313",".431",".743",".316","-2.2","-0.5","1.5","288.0","7739"
"Victor Caratini","Cubs","6","26","23","6","1","0","1","3","3","2","5","0","0","0",".264",".327",".407",".734",".315","-0.2","0.0","0.1","541.3","14968"
