"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Carlos Correa","Astros","155","651","570","168","34","2","30","96","113","72","121","4","8","3",".294",".375",".519",".894",".376","-1.3","1.0","6.1","14.5","14162"
"Corey Seager","Dodgers","150","630","561","163","36","2","24","89","87","58","120","5","4","2",".291",".359",".493",".853",".360","4.4","1.1","5.2","40.2","13624"
"Francisco Lindor","Indians","155","651","581","170","35","4","24","92","83","55","84","4","15","5",".293",".354",".488",".842",".356","11.3","0.8","5.8","20.8","12916"
"Trea Turner","Nationals","147","616","564","163","30","8","16","89","66","42","119","3","49","13",".288",".339",".454",".793",".338","1.5","5.0","3.7","4.7","16252"
"Xander Bogaerts","Red Sox","150","630","568","163","33","4","15","86","75","51","110","5","11","4",".287",".350",".439",".789",".338","-2.4","2.3","3.4","82.6","12161"
"Ian Desmond","Rockies","127","534","487","134","23","2","20","69","74","37","128","5","16","6",".275",".330",".452",".781",".333","1.5","1.4","0.5","112.7","6885"
"Trevor Story","Rockies","153","644","577","142","33","5","30","82","93","57","203","5","11","4",".246",".317",".474",".791",".333","0.6","0.8","1.9","117.2","12564"
"Wilmer Flores","Mets","90","376","349","94","18","1","17","44","55","20","55","3","1","1",".271",".313",".470",".783",".330","-1.3","-0.8","1.0","351.6","5827"
"Eduardo Nunez","Red Sox","97","406","381","111","23","1","10","50","50","18","54","3","18","7",".291",".325",".435",".761",".325","-0.1","0.7","1.3","132.5","6848"
"Ketel Marte","Diamondbacks","147","616","560","160","33","6","9","70","60","45","84","3","13","6",".285",".339",".416",".754",".324","-2.2","0.6","1.5","344.0","13613"
"Marcus Semien","Athletics","142","595","532","134","28","3","21","76","68","54","129","2","12","4",".252",".322",".434",".756",".323","-7.2","0.9","2.2","228.2","12533"
"Paul DeJong","Cardinals","150","630","583","150","30","2","27","73","88","35","165","7","3","3",".258",".305",".458",".763",".323","-3.9","-0.9","2.1","150.9","18015"
"Asdrubal Cabrera","Mets","133","560","504","132","30","2","17","66","62","44","95","5","4","2",".263",".326",".429",".754",".323","-10.3","-1.7","0.8","311.3","4962"
"Brad Miller","Rays","123","518","451","108","22","4","18","60","62","59","130","3","7","4",".239",".328",".422",".750",".322","-1.5","0.0","0.8","451.9","12775"
"Addison Russell","Cubs","125","525","469","117","27","3","19","63","71","45","119","6","4","2",".250",".321",".437",".759",".321","9.2","0.2","2.8","263.2","14106"
"Elvis Andrus","Rangers","153","644","588","165","34","4","12","80","69","43","88","3","23","10",".280",".331",".414",".745",".320","-4.8","1.4","2.1","59.6","8709"
"Troy Tulowitzki","Blue Jays","130","546","491","125","23","0","21","62","71","44","105","5","1","1",".254",".320",".429",".749",".320","1.5","-1.8","2.2","389.2","3531"
"Zack Cozart","Angels","142","595","535","137","25","5","18","73","68","50","94","4","4","2",".256",".322",".424",".746",".319","11.0","-0.2","3.4","222.0","2616"
"Jorge Polanco","Twins","143","602","547","147","29","5","14","69","71","43","90","3","13","7",".269",".324",".415",".738",".317","-4.5","0.0","1.8","209.1","13152"
"Didi Gregorius","Yankees","147","616","571","153","28","2","21","72","80","31","83","7","5","2",".268",".310",".433",".743",".316","0.7","1.5","2.6","115.9","6012"
"Gleyber Torres","Yankees","58","245","219","54","10","1","8","29","28","21","62","2","7","6",".247",".318",".412",".730",".315","-0.7","-1.2","0.6","282.4","sa830372"
"Brandon Crawford","Giants","152","637","570","147","32","4","17","67","82","53","127","5","5","4",".258",".324",".418",".742",".315","8.8","-0.6","3.1","334.9","5343"
"Eduardo Escobar","Twins","58","245","224","58","12","2","7","28","31","16","47","2","2","1",".260",".311",".429",".740",".314","-0.3","0.0","0.7","443.2","6153"
"Javier Baez","Cubs","142","597","549","142","26","2","25","72","84","34","156","7","13","5",".258",".307",".448",".755",".314","3.5","1.4","1.9","101.6","12979"
"Starlin Castro","Marlins","142","595","556","152","29","1","18","64","70","29","107","4","3","1",".274",".313",".426",".738",".314","-4.1","-0.8","1.1","281.3","4579"
"Tim Beckham","Orioles","153","644","592","150","24","6","23","76","75","41","178","4","7","6",".254",".305",".430",".735",".313","1.0","-1.0","1.9","263.6","7949"
